source_id,source_type,domain,platform,mission,trust_object,assurance_layer,lifecycle_stage,evidence,threat,trust_method,blockchain_role,assumptions,evaluation_maturity,limitations,coding_status,title,year,doi_or_url
liu2020fabric,peer-reviewed primary study,general IoT/distributed systems,generic IoT/edge/ledger node,cross-domain mission assurance,data product; entity,ledger/governance consistency,audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Fabric-iot: A Blockchain-Based Access Control System in IoT,2020,10.1109/access.2020.2968492
kshetri20181,peer-reviewed primary study,general IoT/distributed systems,generic IoT/edge/ledger node,maritime logistics,data product; entity,ledger/governance consistency,audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,1 Blockchain’s roles in meeting key supply chain management objectives,2018,10.1016/j.ijinfomgt.2017.12.005
kshetri2017can,peer-reviewed primary study,general IoT/distributed systems,generic IoT/edge/ledger node,cross-domain mission assurance,data product; entity,ledger/governance consistency,audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Can Blockchain Strengthen the Internet of Things?,2017,10.1109/mitp.2017.3051335
javed2022integration,peer-reviewed review,general IoT/distributed systems,generic IoT/edge/ledger node,communications/data collection,link/path,ledger/governance consistency,transmission/relay; audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Integration of Blockchain Technology and Federated Learning in Vehicular (IoT) Networks: A Comprehensive Survey,2022,10.3390/s22124394
shrimali2022blockchain,peer-reviewed review,general IoT/distributed systems,generic IoT/edge/ledger node,maritime logistics,data product; entity,ledger/governance consistency,audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,"Blockchain state-of-the-art: architecture, use cases, consensus, challenges and opportunities",2022,10.1016/j.jksuci.2021.08.005
khan2021systematic,peer-reviewed review,general IoT/distributed systems,generic IoT/edge/ledger node,cross-domain mission assurance,data product; entity,ledger/governance consistency,audit/revocation/recovery,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Systematic Literature Review of Challenges in Blockchain Scalability,2021,10.3390/app11209372
brewer2000towards,peer-reviewed primary study,cross-cutting security/trust,generic IoT/edge/ledger node,cross-domain mission assurance,contextual/background,foundational/contextual,cross-lifecycle,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Towards robust distributed systems (abstract),2000,10.1145/343477.343502
holzinger2022information,peer-reviewed primary study,cross-cutting security/trust,generic IoT/edge/ledger node,cross-domain mission assurance,data product,observation validity; mission-use suitability,processing/fusion/sharing; decision/action,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,trust/reputation method; full-text coding pending,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,"Information fusion as an integrative cross-cutting enabler to achieve robust, explainable, and trustworthy medical artificial intelligence",2022,10.1016/j.inffus.2021.10.007
shafique2021detecting,peer-reviewed primary study,air,UAV/UAS,cross-domain mission assurance,link/path,observation validity,sensing/collection,reported analysis/evaluation; detail reserved pending full-text check,spoofing; cyberattack,machine learning,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,lawful full text acquired and screened; fine-grained analytical coding pending,Detecting Signal Spoofing Attack in UAVs Using Machine Learning Models,2021,10.1109/access.2021.3089847
dang2022deep,peer-reviewed primary study,air,UAV/UAS,cross-domain mission assurance,link/path,observation validity,sensing/collection,reported analysis/evaluation; detail reserved pending full-text check,spoofing,not applicable/title-insufficient,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Deep-Ensemble-Learning-Based GPS Spoofing Detection for Cellular-Connected UAVs,2022,10.1109/jiot.2022.3195320
semanjski2020use,peer-reviewed primary study,cross-cutting security/trust,generic IoT/edge/ledger node,cross-domain mission assurance,link/path; data product,observation validity,sensing/collection,two supervised-learning experiments validated on distinct real-world GNSS spoofing and meaconing datasets,spoofing,machine learning,not central,selected features and labeled signal-manipulation events transfer to the target receiver/context,recorded real-world signal evaluation (maturity level 2),"single signal family and experimental context; no endpoint, ledger, or mission-lifecycle integration",lawful full text inspected; claim-level coding completed for review scope,Use of Supervised Machine Learning for GNSS Signal Spoofing Detection with Validation on Real-World Meaconing and Spoofing Data---Part I,2020,10.3390/s20041171
rado2024recent,peer-reviewed primary study,cross-cutting security/trust,generic IoT/edge/ledger node,cross-domain mission assurance,link/path,observation validity,sensing/collection,reported analysis/evaluation; detail reserved pending full-text check,spoofing; jamming,not applicable/title-insufficient,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Recent Advances on Jamming and Spoofing Detection in GNSS,2024,10.3390/s24134210
varshosaz2019spoofing,peer-reviewed primary study,air,UAV/UAS,cross-domain mission assurance,link/path,observation validity,sensing/collection,reported analysis/evaluation; detail reserved pending full-text check,spoofing,not applicable/title-insufficient,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Spoofing Detection of Civilian UAVs Using Visual Odometry,2019,10.3390/ijgi9010006
sedjelmaci2018hierarchical,peer-reviewed primary study,air,UAV/UAS,communications/data collection,link/path,observation validity,sensing/collection; transmission/relay,reported analysis/evaluation; detail reserved pending full-text check,cyberattack; multiple security threats,not applicable/title-insufficient,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,A Hierarchical Detection and Response System to Enhance Security Against Lethal Cyber-Attacks in UAV Networks,2018,10.1109/tsmc.2017.2681698
liu2022trusted,peer-reviewed primary study,cross-cutting security/trust,generic IoT/edge/ledger node,cross-domain mission assurance,entity; platform/device,mission-use suitability,decision/action,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,machine learning,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,Trusted Multi-View Deep Learning with Opinion Aggregation,2022,10.1609/aaai.v36i7.20724
qian2025review,peer-reviewed review,cross-cutting security/trust,generic IoT/edge/ledger node,cross-domain mission assurance,contextual/background,observation validity,sensing/collection; processing/fusion/sharing,reported analysis/evaluation; detail reserved pending full-text check,not title-coded,not applicable/title-insufficient,not central,pending full-text coding,pending full-text classification,pending full-text coding; no detailed claim drawn from title alone,bibliographic metadata verified; full-text analytical coding pending,A Review of Multi-Sensor Fusion in Autonomous Driving,2025,10.3390/s25196033
neto2023ciciot2023,peer-reviewed dataset/benchmark,general IoT/distributed systems,generic IoT/edge/ledger node,cross-domain mission assurance,data product,foundational/contextual,sensing/collection,artifact and reported baseline/tool evaluation,cyberattack,not applicable/title-insufficient,not central,deployment representativeness requires mission-specific validation,benchmark/tool,does not by itself validate cross-domain mission trust or ledger behavior,bibliographic metadata verified; artifact/full text to be rechecked before submission,CICIoT2023: A Real-Time Dataset and Benchmark for Large-Scale Attacks in IoT Environment,2023,10.3390/s23135941
alsaedi2020ton,peer-reviewed dataset/benchmark,general IoT/distributed systems,generic IoT/edge/ledger node,cross-domain mission assurance,data product,observation validity,sensing/collection,"labeled IoT/IIoT telemetry, operating-system logs, and network traffic from the UNSW Canberra cyber range",intrusion,not applicable/title-insufficient,not central,cyber-range devices and attacks represent target anomaly classes,public dataset with baseline machine-learning evaluation,"no maritime physics, vehicle dependencies, ledger, or mission outcomes",lawful full text inspected; claim-level coding completed for review scope,TON\_IoT Telemetry Dataset: A New Generation Dataset of IoT and IIoT for Data-Driven Intrusion Detection Systems,2020,10.1109/access.2020.3022862
ferrag2022edge,peer-reviewed dataset/benchmark,general IoT/distributed systems,generic IoT/edge/ledger node,cross-domain mission assurance,data product,foundational/contextual,sensing/collection,purpose-built seven-layer IoT/IIoT testbed dataset with centralized and federated learning baselines,multiple security threats,not applicable/title-insufficient,not central,"testbed protocols, devices, and attack labels transfer to the target deployment",public dataset/testbed with baseline evaluation,"no cross-media maritime mission, vehicle dynamics, or governance behavior",lawful full text inspected; claim-level coding completed for review scope,Edge-IIoTset: A New Comprehensive Realistic Cyber Security Dataset of IoT and IIoT Applications for Centralized and Federated Learning,2022,10.1109/access.2022.3165809
martin2017aqua,peer-reviewed tool/platform paper,cross-cutting security/trust,generic IoT/edge/ledger node,cross-domain mission assurance,contextual/background,foundational/contextual,cross-lifecycle,ns-3 underwater-network simulator architecture with protocol support and reported experimental comparison,not title-coded,not applicable/title-insufficient,not central,"channel, protocol, topology, and traffic models represent the target underwater network",network simulation/tool evaluation,network abstraction does not establish observation truth or integrated mission assurance,lawful full text inspected; claim-level coding completed for review scope,Aqua-Sim Next Generation,2017,10.1145/3148675.3148679
shah2018airsim,peer-reviewed tool/platform paper,air,UAV/UAS,cross-domain mission assurance,contextual/background,foundational/contextual,cross-lifecycle,high-frequency physics and visual simulation with hardware-in-the-loop support and selected real-flight comparisons,not title-coded,not applicable/title-insufficient,not central,"vehicle, environment, and sensor models adequately represent the intended air scenario",simulation/tool with component validation,does not natively model underwater acoustic links or consortium governance,lawful full text inspected; claim-level coding completed for review scope,AirSim: High-Fidelity Visual and Physical Simulation for Autonomous Vehicles,2018,10.1007/978-3-319-67361-5_40
manhaes2016uuv,peer-reviewed tool/platform paper,underwater,UUV/IoUT,cross-domain mission assurance,contextual/background,foundational/contextual,cross-lifecycle,"Gazebo/ROS package for hydrodynamics, thrusters, sensors, disturbances, intervention, and multi-robot scenarios",not title-coded,not applicable/title-insufficient,not central,configured hydrodynamic and sensor models represent the target vehicle/environment,open simulation/tool platform,simulated dynamics and sensors require field validation; no trust or ledger semantics,lawful full text inspected; claim-level coding completed for review scope,UUV Simulator: A Gazebo-based package for underwater intervention and multi-robot simulation,2016,10.1109/oceans.2016.7761080
w3c2013provdm,official standard/specification,cross-cutting security/trust,generic IoT/edge/ledger node,cross-domain mission assurance,data product,foundational/contextual,cross-lifecycle,normative or architectural specification,not title-coded,not applicable/title-insufficient,not central,scope and conformance conditions stated by issuing organization,operational standard/specification,not evidence of performance in UAV-USV-UUV missions,official text inspected; analytical mapping is authors' synthesis,PROV-DM: The PROV Data Model,2013,https://www.w3.org/TR/prov-dm/
w3c2013provo,official standard/specification,cross-cutting security/trust,generic IoT/edge/ledger node,cross-domain mission assurance,contextual/background,foundational/contextual,cross-lifecycle,normative or architectural specification,not title-coded,not applicable/title-insufficient,not central,scope and conformance conditions stated by issuing organization,operational standard/specification,not evidence of performance in UAV-USV-UUV missions,official text inspected; analytical mapping is authors' synthesis,PROV-O: The PROV Ontology,2013,https://www.w3.org/TR/prov-o/
threegpp22125,official standard/specification,air,UAV/UAS,maritime logistics,contextual/background,foundational/contextual,cross-lifecycle,normative or architectural specification,not title-coded,not applicable/title-insufficient,not central,scope and conformance conditions stated by issuing organization,operational standard/specification,not evidence of performance in UAV-USV-UUV missions,official text inspected; analytical mapping is authors' synthesis,Unmanned Aerial System (UAS) Support in 3GPP; Stage 1,2026,https://www.3gpp.org/dynareport/22125.htm
threegpp22119,official standard/specification,surface/maritime,USV/maritime infrastructure,communications/data collection,link/path,foundational/contextual,transmission/relay,normative or architectural specification,not title-coded,not applicable/title-insufficient,not central,scope and conformance conditions stated by issuing organization,operational standard/specification,not evidence of performance in UAV-USV-UUV missions,official text inspected; analytical mapping is authors' synthesis,Maritime Communication Services over 3GPP System,2026,https://www.3gpp.org/dynareport/22119.htm
hyperledger2026fabric,official standard/specification,cross-cutting security/trust,generic IoT/edge/ledger node,cross-domain mission assurance,contextual/background,ledger/governance consistency,cross-lifecycle,normative or architectural specification,not title-coded,not applicable/title-insufficient,ledger-supported trust/audit/data sharing; exact design pending full-text coding,scope and conformance conditions stated by issuing organization,operational standard/specification,not evidence of performance in UAV-USV-UUV missions,official text inspected; analytical mapping is authors' synthesis,Hyperledger Fabric Documentation: Ordering Service,2026,https://hyperledger-fabric.readthedocs.io/en/latest/orderer/ordering_service.html
ietf2020suit,official standard/specification,general IoT/distributed systems,generic IoT/edge/ledger node,cross-domain mission assurance,contextual/background,foundational/contextual,cross-lifecycle,normative or architectural specification,not title-coded,not applicable/title-insufficient,not central,scope and conformance conditions stated by issuing organization,operational standard/specification,not evidence of performance in UAV-USV-UUV missions,official text inspected; analytical mapping is authors' synthesis,A Firmware Update Architecture for Internet of Things,2021,10.17487/RFC9019
varga2022seadronessee,peer-reviewed dataset/benchmark,air; surface/maritime,UAV/UAS; USV/maritime infrastructure,maritime search and rescue/observation,data product,observation validity,sensing/collection; transmission/relay,artifact and reported baseline/tool evaluation,not title-coded,not applicable/title-insufficient,not central,deployment representativeness requires mission-specific validation,benchmark/tool,does not by itself validate cross-domain mission trust or ledger behavior,bibliographic metadata verified; artifact/full text to be rechecked before submission,SeaDronesSee: A Maritime Benchmark for Detecting Humans in Open Water,2022,https://openaccess.thecvf.com/content/WACV2022/html/Varga_SeaDronesSee_A_Maritime_Benchmark_for_Detecting_Humans_in_Open_Water_WACV_2022_paper.html
